"%s %s cycle.","سیکل %s %s."
"Debug Mode","حالت اشکال زدایی"
"Enabled","ممکن‌شده"
"Expiration Date","تاریخ انقضا"
"Expiration Date: %s/%s","تاریخ انقضا: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","نام کامل شخصی که محصول یا سرویس پرداخت شده توسط پرداخت مکرر را دریافت می‌کند."
"Initial Fee","هزینه‌ی اولیه"
"Initial non-recurring payment amount due immediately upon profile creation.","بلافاصله بر روی ایجاد پروفایل، بدهی مبلغ پرداخت نامکرر را آغاز کن."
"Internal Reference ID","شناسه‌ی ارجاع داخلی"
"Issue Number","شماره‌ی صدور"
"Make Check Payable to","چک را قابل پرداخت کنید برای"
"Make Check payable to:","چک را قابل پرداخت کنید برای:"
"Make Check payable to: %s","چک را قابل پرداخت کنید برای: %s"
"Maximum Billing Cycles","بیشینه سیکل‌های صورت حساب"
"Maximum Order Total","بیشینه‌ی جمع کل سفارش"
"Maximum Payment Failures","بیشینه شکست‌های پرداخت"
"Maximum Trial Billing Cycles","بیشینه سیکل‌های صورت حساب آزمایشی"
"Merchant Id","شناسه‌ی فروشنده"
"Minimum Order Total","کمینه‌ی جمع کل سفارش"
"Month","ماه"
"N/A","N/A"
"Name on Card","نام روی کارت"
"Name on the Card","نام روی کارت"
"Name on the Card: %s","نام روی کارت: %s"
"New Order Status","وضعیت سفارش جدید"
"Number of billing periods that make up one billing cycle.","تعداد دوره‌های صورت حساب که یک سیکل صورت حساب تشکیل می‌دهند."
"Overrides API URL that may be specified by a payment method.","API URLای که ممکن است توسط یک روش دیگر تعریف شده را باطل می‌کند."
"Password","گذرواژه"
"Payment ID: %s","شناسه‌ی پرداخت: %s"
"Payment Method","روش پرداخت"
"Payment Methods","روش‌های پرداخت"
"Payment Methods Section","بخش روش‌های پرداخت"
"Payment Reference ID","شناسه‌ی ارجاع پرداخت"
"Payment Services","سرویس‌های پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Payment method code is not set.","کد روش پرداخت تنظیم نیست."
"Payment method code is undefined.","کد روش پرداخت تعریف نشده است."
"Payment profile is invalid:\n%s","پروفایل پرداخت نامعتبر است: \n%s"
"Processor Id","شناسه‌ی پردازنده"
"Purchase Order","سفارش خرید"
"Purchase Order Number","شماره‌ی سفارش خرید"
"Purchase Order Number:","شماره‌ی سفارش خرید:"
"Purchase Order Number: %s","شماره‌ی سفارش خرید: %s"
"Recurring Profile Start Date","تاریخ شروع پروفایل مکرر"
"Recurring profile start date has invalid format.","تاریخ شروع پروفایل مکرر ساختار نامعتبری دارد."
"Reference ID is not set.","شناسه‌ی ارجاع تنظیم نیست."
"Repeats %s time(s).","%s بار تکرار می‌کند."
"Repeats until suspended or canceled.","تا زمانی که معلق یا لغو شود تکرار می‌کند."
"Request Card Security Code","درخواست کد امنیتی کارت"
"Saved CC","کارت اعتباری ذخیره شده"
"Schedule Description","توصیف زمان بندی"
"Schedule description must be not empty.","توصیف زمان بندی نباید خالی باشد."
"Send Check to","ارسال چک به"
"Send Check to:","ارسال چک به:"
"Severe 3D Secure Card Validation","تصدیق کارت سخت گیرانه‌ی 3D Secure"
"Severe validation removes chargeback liability on merchant.","تصدیق کارت سخت گیرانه تعهدات بازگشت هزینه را برای فروشنده برمی‌دارد."
"Shipping Amount","مبلغ ارسال"
"Short description of the recurring payment. By default equals to the product name.","توصیف کوتاه پرداخت مکرر. به صورت پیش فرض با نام محصول برابر است."
"Sort Order","ترتیب ردیف"
"Start Date","تاریخ شروع"
"Start date has invalid format.","تاریخ شروع ساختار نامعتبری دارد."
"Start date is undefined.","تاریخ شروع تعریف نشده است."
"Subscriber Name","نام مشترک"
"Switch/Solo Issue Number","شماره صدور Switch/Solo"
"Switch/Solo Only","تنها Switch/Solo"
"Switch/Solo Start Date","تاریخ شروع Switch/Solo"
"Tax Amount","مبلغ مالیات"
"Test Mode","حالت آزمایشی"
"The date when billing for the profile begins.","تاریخ هنگامی که صورت حساب برای پروفایل شروع می‌شود."
"The number of billing cycles for payment period.","تعداد سیکل‌های صورت حساب برای دوره‌ی پرداخت"
"The number of scheduled payments that can fail before the profile is automatically suspended.","تعداد پرداخت‌های زمان بندی شده که می‌توانند پیش از این که پروفایل به طور خودکار معلق شود ناموفق باشند."
"The payment review action is unavailable.","کنش بازبینی پرداخت ناموجود است."
"Title","عنوان"
"Trial Billing Amount","مبلغ صورت حساب آزمایشی"
"Trial Billing Frequency","تکرار صورت حساب آزمایشی"
"Trial Billing Period Unit","واحد دوره‌ی صورت حساب آزمایشی"
"Trial Period","دوره‌ی آزمایشی"
"Trial billing period unit is wrong.","واحد دوره‌ی صورت حساب آزمایشی اشتباه است."
"Two Weeks","دو هفته"
"Unable to save Billing Agreement:","ناتوان در ذخیره‌ی قرارداد صدور صورت حساب:"
"Unit for billing during the subscription period.","واحد برای صورت حساب در طی دوره‌ی اشتراک."
"Unsupported currency code: %s.","کد ارز پشتیبانی نشده: %s."
"Week","هفته"
"What is this?","این چیست؟"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","چه برای تعلیق پروفایل پرداخت اگر هزینه‌ی اولیه را به مانده‌ی واریز نشده افزود یا آن را رد کرد."
"Wrong %s specified.","%s مشخص شده‌ی اشتباه."
"Wrong or empty billing amount specified.","مبلغ صورت حساب مشخص شده‌ی اشتباه یا خالی."
"Year","سال"
"Zero Subtotal Checkout","تسویه‌ی جمع جز صفر"
