"# of Use","تعداد استفاده"
"%1$s incl tax.","%1$s با مالیات"
"%s - %s","%s - %s"
"%s Item(s)","%s آیتم"
"An error occurred while updating the product(s) attributes.","یک خطا در حین به روز رسانی ویژگی‌های محصول(ات) رخ داد."
"An error occurred while updating the product(s) status.","یک خطا در حین به روز رسانی وضعیت محصول(ات) رخ داد."
"An invalid option ID is specified for %s (%s), skipping the record.","یک شناسه‌ی گزینه‌ی نامعتبر برای %s (%s) مشخص شده است، در حال پرش از رکورد."
"An invalid store was specified.","یک فروشگاه نامعتبر مشخص شده بود."
"Anchor Custom Text","متن سفارشی مرجع"
"Anchor Custom Title","عنوان سفارشی مرجع"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","تنها قابل اجرا برای محصولات کاتالوگ و رده‌ها. هر محتوای مدیا درون ویرایشگر به عنوان یک URL ایستا قرارداده خواهد شد. آن به روز نمی‌شود اگر URL مبنای پیکربندی سیستم تغییر کند."
"Apply To","اعمال برای"
"Approved","تایید شده"
"Are you sure you want to delete this category?","شما مطمئن‌اید که می‌خواهید این رده را حذف کنید؟"
"Are you sure you would like to remove all products from your comparison?","شما مطمئن‌اید که مایلید همه‌ی محصولات را از مقایسه‌تان بردارید؟"
"Are you sure you would like to remove this item from the comparison list?","شما مطمئن‌اید که مایلید این آیتم را از لیست مقایسه بردارید؟"
"Are you sure?","شما مطمئن‌اید؟"
"As low as:","از حداقل:"
"Assign","اختصاص دادن"
"Assign product link","اختصاص دادن لینک محصول"
"Assign product to category","اختصاص دادن محصول به رده"
"Assigned Products","محصولات اختصاص یافته"
"Associated Products","محصولات وابسته"
"Attrib. Set Name","نام مجموعه ویژگی"
"Attribute ""%s"" is invalid.","ویژگی ""%s"" نامعتبر است."
"Attribute ""%s"" is required.","ویژگی ""%s"" الزامی است."
"Attribute Information","اطلاعات ویژگی"
"Attribute Model","مدل ویژگی"
"Attribute Name:","نام ویژگی:"
"Attribute Set","مجموعه ویژگی"
"Attribute group with the \"/name/\" name already exists","گروه ویژگی با نام \"/name/\" وجود دارد."
"Attribute with the same code already exists","ویژگی با کد یکسان وجود دارد."
"Attributes","ویژگی‌ها"
"Attrribute names can be specified per store.","نام‌های ویژگی می‌توانند بر هر فروشگاه مشخص شوند."
"Autogenerate","تولید خودکار"
"Availability:","دسترسی:"
"Back","بازگشت"
"Backend Model","مدل بک‌اند"
"Backend Table","جدول بک‌اند"
"Backend Table Title","عنوان جدول بک‌اند"
"Backorders","پیش سفارش‌ها"
"Based On","بر اساس"
"Best Value","بهترین قیمت"
"Block after Info Column","بستن پس از ستون اطلاعات"
"Bottom Block Options Wrapper","لفافه‌ی گزینه‌های بلاک پایین"
"Bottom/Left","پایین/چپ"
"Bottom/Right","پایین/راست"
"Browse By","مرور توسط"
"Buy %1$s for %2$s","خرید %1$s تا %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","خرید %1$s تا هر یک %2$s (%3$s با مالیات)"
"Buy %1$s for %2$s each","خرید %1$s تا هر یک %2$s"
"Cache Lifetime (Seconds)","طول عمر کش (ثانیه)"
"Cache refresh needed.","رفرش کش نیاز بود."
"Can be used only with catalog input type Dropdown","تنها می‌تواند با نوع ورودی کاتالوگ کشویی استفاده شود"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","تنها می‌تواند با نوع ورودی کاتالوگ کشویی، چند انتخابی و قیمت استفاده شود"
"Cannot create image.","نمی‌توان تصویر ایجاد کرد."
"Cannot create writeable directory '%s'.","نمی‌توان دایرکتوری قابل نوشتن '%s' ایجاد کرد."
"Cart Item Attribute","ویژگی آیتم سبد"
"Catalog","کاتالوگ"
"Catalog Category (Anchor)","رده‌ی کاتالوگ (مرجع)"
"Catalog Category (Non-Anchor)","رده‌ی کاتالوگ (غیر مرجع)"
"Catalog Category (Without Subcategories)","رده‌ی کاتالوگ (با زیر رده‌ها)"
"Catalog Category Link","لینک رده‌ی کاتالوگ"
"Catalog New Products List","لیست محصولات جدید کاتالوگ"
"Catalog Price Scope","دامنه‌ی قیمت کاتالوگ"
"Catalog Product Compare List","لیست مقایسه‌ی محصول کاتالوگ"
"Catalog Product Email to a Friend","ایمیل محصول کاتالوگ به یک دوست"
"Catalog Product Image Gallery Popup","بالاپر گالری تصویر محصول کاتالوگ"
"Catalog Product Link","لینک محصول کاتالوگ"
"Catalog Product View (Any)","مشاهده‌ی محصول کاتالوگ (همه)"
"Catalog Product View (Configurable)","مشاهده‌ی محصول کاتالوگ (قابل پیکربندی)"
"Catalog Product View (Grouped)","مشاهده‌ی محصول کاتالوگ (گروه شده)"
"Catalog Product View (Simple)","مشاهده‌ی محصول کاتالوگ (ساده)"
"Catalog Product View (Virtual)","مشاهده‌ی محصول کاتالوگ (مجازی)"
"Catalog Section","بخش کاتالوگ"
"Catalog Seo Popular Search Terms","عبارات جستجوی محبوب Seoی کاتالوگ"
"Catalog Seo Sitemap (Category List)","نقشه سایت Seoی کاتالوگ (لیست رده)"
"Catalog Seo Sitemap (Category Tree)","نقشه سایت Seoی کاتالوگ (درخت رده)"
"Catalog Seo Sitemap (Common)","نقشه سایت Seoی کاتالوگ (رایج)"
"Catalog Seo Sitemap (Product List)","نقشه سایت Seoی کاتالوگ (لیست محصول)"
"Catalog URL Rewrites","بازنویسی‌های URL کاتالوگ"
"Catalog, Search","کاتالوگ، جستجو"
"Categories","رده‌ها"
"Categories Sitemap","نقشه سایت رده‌ها"
"Category","رده"
"Category API","API رده"
"Category Data","داده‌ی رده"
"Category Flat Data","داده‌ی یکنواخت رده"
"Category Link Block Template","قالب بلاکی لینک رده"
"Category Link Inline Template","قالب اینلاین لینک رده"
"Category Products","محصولات رده"
"Category Top Navigation","ناوبری بالایی رده"
"Category URL Suffix","پسوند URL رده"
"Category attributes API","APIی ویژگی‌های رده"
"Category move error","خطای جابجایی رده"
"Category move operation is not possible: the new parent category was not found.","عملکرد جابجایی رده ممکن نیست: رده‌ی منشا جدید پیدا نشد."
"Category must be an instance of Mage_Catalog_Model_Category.","رده باید یک نمونه از Mage_Catalog_Model_Category باشد."
"Center","مرکز"
"Change","تغییر"
"Change or Retrieve attribute store view","تغییر یا بازیابی ویژگی نمای فروشگاه"
"Change status","تغییر وضعیت"
"Check items to add to the cart or","بررسی آیتم‌ها برای افزودن به سبد یا"
"Choose an Option...","انتخاب یک گزینه..."
"Clear All","پاک کردن همه"
"Close Window","بستن پنجره"
"Collapse All","بستن همه"
"Comma-separated.","جدا شده با کاما."
"Comparable","قابل مقایسه"
"Comparable on Front-end","قابل مقایسه در فرانت‌اند"
"Comparable on the Frontend","قابل مقایسه در فرانت‌اند"
"Compare","مقایسه"
"Compare Products","مقایسه‌ی محصولات"
"Conditions Combination","ترکیب شرط‌ها"
"Configurable Product","محصول قابل پیکربندی"
"Configurable Product Settings","تنظیمات محصول قابل پیکربندی"
"Continue","ادامه"
"Copy From Configurable","کپی از قابل پیکربندی"
"Country/State","کشور/استان"
"Create","ایجاد"
"Create (Upload)","ایجاد (آپلود)"
"Create Empty","ایجاد خالی"
"Create Permanent Redirect for old URL","ایجاد هدایت مجدد همیشگی برای URL قدیمی"
"Create Permanent Redirect for old URLs if Url key changed","ایجاد هدایت مجدد همیشگی برای URLهای قدیمی اگر کلید Url تغییر کرد"
"Create Product Settings","ایجاد تنظیمات محصول"
"Create Simple Associated Product","ایجاد محصول متناظر ساده"
"Create new category","ایجاد رده‌ی جدید"
"Create new product","ایجاد محصول جدید"
"Cross-sells","فروش‌های پیشنهادی"
"Currently Shopping By","در حال حاضر خرید توسط"
"Custom Design","طرح سفارشی"
"Custom Options","گزینه‌های سفارشی"
"Customer Group","گروه مشتری"
"Customers Reviews","نظرات مشتریان"
"Customers Tagged Product","محصول برچسب خورده‌ی مشتریان"
"Customers for alert %s were successfuly added to queue","مشتریان برای هشدار %s با موفقیت به صف افزوده شده بودند"
"Data Type for Saving in Database","نوع داده برای ذخیره در پایگاه‌داده"
"Date & Time Custom Options","گزینه‌های سفارشی تاریخ و زمان"
"Date Fields Order","ترتیب فیلدهای تاریخ"
"Date Subscribed","تاریخ تصویب شد"
"Datetime","تاریخ‌زمان"
"Decimal","اعشاری"
"Declare attribute value saving scope","اعلام دامنه‌ی ذخیره‌ی مقدار ویژگی"
"Default Price","قیمت پیش فرض"
"Default Qty","تعداد پیش فرض"
"Default Values","مقادیر پیش فرض"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","تعیین دامنه‌ی ارز مبنا (""راه اندازی ارز"" > ""گزینه‌های ارز"" > ""ارز مبنا"")."
"Delete","حذف"
"Delete Attribute","حذف ویژگی"
"Delete Attribute Set","حذف مجموعه ویژگی"
"Delete Category","حذف رده"
"Delete Option","حذف گزینه"
"Delete Row","حذف سطر"
"Delete Search","حذف جستجو"
"Delete Selected Group","حذف گروه انتخاب شده"
"Delete category","حذف رده"
"Delete product","حذف محصول"
"Depends on design theme","وابسته به طرح تم"
"Design","طراحی"
"Details","جزییات"
"Disabled","ناممکن‌شده"
"Disallowed file type.","نوع فایل غیرمجاز."
"Display in Suggested Terms","نمایش در عبارات پیشنهادی"
"Double click on a group to rename it","برای تغییر نام یک گروه بر روی آن دابل کلیک کنید"
"Double click on above image to view full picture","برای مشاهده‌ی تصویر کامل بر روی عکس فوق دابل کلیک کنید"
"Duplicate","تکثیر"
"Duplicate website tier price customer group and quantity.","تکثیر گروه مشتری قیمت ردیفی و تعداد برای وب‌سایت."
"Duplicate website, country and state tax found.","تکثیر وب‌سایت، کشور و بنای مالیات استان."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","برای نمونه {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. تجزیه‌ی دستورات پویا کارایی کاتالوگ را تحت فشار قرار می‌دهد."
"Edit","ویرایش"
"Edit Attribute Set '%s'","ویرایش مجموعه ویژگی '%s'"
"Edit Product Attribute","ویرایش ویژگی محصول"
"Edit Product Attribute ""%s""","ویرایش ویژگی محصول ""%s"""
"Edit Search","ویرایش جستجو"
"Edit Search '%s'","ویرایش جستجوی '%s'"
"Edit Set Name","ویرایش نام مجموعه"
"Email","ایمیل"
"Email to %s was not sent.","ایمیل به %s فرستاده نشد."
"Email to a Friend","ایمیل به یک دوست"
"Empty","خالی"
"Enable Qty Increments","نموهای تعداد ممکن"
"Enable WYSIWYG","WYSIWYG ممکن"
"Enabled","ممکن‌شده"
"Error during retrieval of option value: %s","خطا در طی بازیابی مقدار گزینه: %s"
"Exclude","استثنا"
"Expand All","بازکردن همه"
"Failed","ناموفق"
"Failed to move file: %s","ناموفق در جابجایی فایل: %s"
"Feature Products","محصولات ویژه"
"Field is not complete","فیلد کامل نیست"
"File options format is not valid.","ساختار گزینه‌های فایل معتبر نیست."
"File upload failed","آپلود فایل ناموفق بود"
"Filter model name must be declared.","نام مدل فیلتر باید بیان شده باشد."
"Filter must be an object. Please set correct filter.","فیلتر باید یک شی باشد. لطفا فیلتر را درست تنظیم نمایید."
"Filterable (no results)","فیلتر پذیر (بدون نتایج)"
"Filterable (with results)","فیلتر پذیر (با نتایج)"
"First Name","نام کوچک"
"Fixed","ثابت"
"For internal use.","برای استفاده‌ی داخلی."
"Frontend","فرانت‌اند"
"Frontend Model","مدل فرانت‌اند"
"Frontend Properties","مشخصات فرانت‌اند"
"Gallery","گالری"
"General Information","اطلاعات عمومی"
"Get special price","دریافت قیمت ویژه"
"Global","سراسری"
"Globally Editable","قابل ویرایش به طور سراسری"
"Go to Home Page","برو به صفحه‌ی خانگی"
"Grid","مشبک"
"Grouped Product","محصول گروه شده"
"Groups","گروه‌ها"
"Home","خانه"
"ID","شناسه"
"ID: %s","شناسه: %s"
"If empty, the Product Name will be used","اگر خالی باشد، از نام محصول استفاده خواهد شد"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","اگر شما یک مقدار گزینه برای یک نمای فروشگاه خاص مشخص نکنید، مقدار پیش فرض (مدیر) به کار خواهد رفت."
"Image","تصویر"
"Image does not exist.","تصویر وجود ندارد."
"Image file was not found.","فایل تصویر یافت نشد."
"Image type and information need to be specified for each store view.","نیاز دارد نوع و اطلاعات تصویر برای هر نمای فروشگاه مشخص شده باشد."
"In Stock","موجود"
"In stock","موجود"
"Incl. Tax","با مالیات"
"Index product and categories URL rewrites","فهرست سازی بازنویسی‌های URL رده‌ها و محصول"
"Index product attributes for layered navigation building","فهرست سازی ویژگی‌های محصول برای ساختن ناوبری لایه‌ای"
"Index product prices","فهرست سازی قیمت‌های محصول"
"Indexed category/products association","وابستگی رده/محصولات فهرست شده"
"Info Column Options Wrapper","لفافه‌ی گزینه‌های ستون اطلاعات"
"Input Type","نوع ورودی"
"Integer","عدد صحیح"
"Invalid Tier Prices","قیمت‌های ردیفی نامعتبر"
"Invalid attribute %s.","ویژگی %s نامعتبر."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","گزینه‌ی ویژگی مشخص شده‌ی نامعتبر برای ویژگی %s (%s)، در حال پرش از رکورد."
"Invalid attribute set specified, skipping the record.","مجموعه ویژگی مشخص شده‌ی نامعتبر، در حال پرش از رکورد."
"Invalid block: %s.","بلاک نامعتبر: %s."
"Invalid category IDs.","شناسه‌های رده‌ی نامعتبر."
"Invalid category.","رده‌ی نامعتبر."
"Invalid image file type.","نوع فایل تصویری نامعتبر."
"Invalid image type.","نوع تصویر نامعتبر."
"Invalid option ID specified for %s (%s), skipping the record.","شناسه‌ی گزینه‌ی مشخص شده‌ی نامعتبر برای %s (%s)، در حال پرش از رکورد."
"Invalid product type specified, skipping the record.","نوع محصول مشخص شده‌ی نامعتبر، در حال پرش از رکورد."
"Invalid store specified","فروشگاه مشخص شده‌ی نامعتبر"
"Invalid store specified, skipping the record.","فروشگاه مشخص شده‌ی نامعتبر، در حال پرش از رکورد."
"Invalid tier prices. The product is not associated to the requested website.","قیمت‌های ردیفی نامعتبر. محصول به وب‌سایت درخواست شده وابسته شده نیست."
"Invalid transactional email code.","کد ایمیل‌ تراکنش نامعتبر."
"Inventory","موجودی"
"Is Default","پیش فرض است"
"Is Required","الزامی است"
"Items %s to %s of %s total","آیتم‌های %s تا %s از مجموع %s تا"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","آیتم‌هایی را که شما برای نمایش در کاتالوگ یا نتایج جستجو نمی‌خواهید می‌بایست در فروشگاهی که مایلید وضعیت ‘ناممکن شده’ داشته باشند."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","آیتم‌هایی را که شما برای نمایش در کاتالوگ یا نتایج جستجو نمی‌خواهید می‌بایست در فروشگاهی که مایلید وضعیت ‘ناممکن شده’ داشته باشند."
"Keep your eyes open for our special Back to School items and save A LOT!","حواستان را برای محصولات ویژه‌ی آغاز مدارس ما جمع کنید و تخفیف زیادی بگیرید!"
"Label","برچسب"
"Last Name","نام خانوادگی"
"Last Notification","آخرین اطلاعیه"
"Learn More","بیشتر بدانید"
"Line %d, Email: %s","خط %d، ایمیل: %s"
"Line %d, SKU: %s","خط %d، کد کالا: %s"
"Link (Related, Up sell, Cross sell)","لینک (مرتبط، پرفروش، فروش پیشنهادی)"
"Link product does not exist.","محصول لینک وجود ندارد."
"Link to a Specified Category","لینک به یک رده‌ی مشخص شده"
"Link to a Specified Product","لینک به یک محصول مشخص شده"
"List","لیست"
"List Mode","سبک لیستی"
"List of Products that are set as New","لیست محصولاتی که به عنوان جدید تنظیم شده‌اند"
"Manage Attribute Sets","مدیریت مجموعه‌های ویژگی"
"Manage Attributes","مدیریت ویژگی‌ها"
"Manage Catalog Categories","مدیریت رده‌های کاتالوگ"
"Manage Categories","مدیریت رده‌ها"
"Manage Label / Options","مدیریت برچسب / گزینه‌ها"
"Manage Options (values of your attribute)","مدیریت گزینه‌ها (مقادیر ویژگی‌تان)"
"Manage Product Attributes","مدیریت ویژگی‌های محصول"
"Manage Product Sets","مدیریت مجموعه‌های محصول"
"Manage Products","مدیریت محصولات"
"Manage Stock","مدیریت موجودی"
"Manage Titles (Size, Color, etc.)","مدیریت عناوین (اندازه، رنگ، و غیره)"
"Max Characters","بیشینه‌ی کاراکترها"
"Maximal Depth","عمق نهایی"
"Maximum Image Size","بیشینه‌ی اندازه‌ی تصویر"
"Maximum Qty Allowed in Shopping Cart","بیشینه‌ی تعداد مجاز در سبد خرید"
"Maximum image height","بیشینه‌ی بلندی تصویر"
"Maximum image width","بیشینه‌ی پهنای تصویر"
"Maximum number of characters:","بیشینه‌ی تعداد کاراکترها:"
"Media Image","تصویر مدیا"
"Minimum Lines per Page","کمینه‌ی خطوط بر صفحه"
"Minimum Qty Allowed in Shopping Cart","کمینه‌ی تعداد مجاز در سبد خرید"
"Minimum Qty for Item\'s Status to be Out of Stock","کمینه‌ی تعداد برای ناموجود بودن وضعیت آیتم"
"Missing SKU, skipping the record.","کد کالای مفقود، در حال پرش از رکورد."
"More Views","نماهای بیشتر"
"Move","جابجایی"
"Move category in tree","جابجاکردن رده در درخت"
"Must be in the allowed values list.","باید در لیست مقادیر مجاز باشد."
"Name","نام"
"Name in %s","نام در %s"
"New Category","رده‌ی جدید"
"New Product","محصول جدید"
"New Product Attribute","ویژگی محصول جدید"
"New Products","محصولات جدید"
"New Products Grid Template","قالب مشبک محصولات جدید"
"New Products List Template","قالب لیستی محصولات جدید"
"New Search","جستجوی جدید"
"New Set Name","نام مجموعه‌ی جدید"
"Next","بعدی"
"No","خیر"
"No image","بدون تصویر"
"No layout updates","بدون به روز رسانی‌های آرایش"
"No layout updates.","بدون به روز رسانی‌های آرایش."
"No options of this product are available.","هیچ گزینه‌ای از این محصول در دسترس نیست."
"No product collections found.","هیچ مجموعه‌های محصولی یافت نشد."
"None","هیچ یک"
"Not Visible Individually","منحصرا نا پیدا"
"Notify Low Stock RSS","RSS اخطار موجودی کم"
"Notify for Quantity Below","اخطار برای تعداد زیر"
"Number of Products to Display","تعداد محصولات برای نمایش"
"Number of Uses","تعداد استفاده‌ها"
"Number of results<br/>(For the last time placed)","تعداد نتایج <br/> (برای آخرین بار قرارداده شده)"
"OR","یا"
"Old Price:","قیمت قدیمی:"
"Option validation failed to add product to cart.","اعتبارسنجی گزینه ناموفق در افزودن محصول به سبد."
"Option:","گزینه:"
"Options Control","کنترل گزینه‌ها"
"Options is required","گزینه‌ها الزامی‌اند"
"Our customer service is available 24/7. Call us at (555) 555-0123.","سرویس مشتری ما 7/24 در دسترس است. با ما با (511)&nbsp;555-0123 تماسی بگیرید."
"Out of Stock","ناموجود"
"Out of stock","ناموجود"
"PM","ب.ظ"
"Page Title Separator","جداساز عنوان صفحه"
"Parent Category","رده‌ی منشا"
"Pending","در انتظار"
"Pending Reviews RSS","RSS نظرات در انتظار"
"Percentage","درصدی"
"Please add rows to option.","لطفا خطوط را به گزینه اضافه نمایید."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","لطفا مراقب باشید همین که شما بر روی سطر کلیک کنید داده‌ی بسته از فایل انتخاب شده بارگذاری خواهد شد و همه‌ی داده‌های فرم‌های ذخیره نشده از دست خواهند رفت."
"Please click on the Close Window button if it is not closed automatically.","اگر پنجره به صورت خودکار بسته نشد لطفا بر روی دکمه‌ی بستن پنجره کلیک نمایید."
"Please enter a new group name","لطفا یک نام گروه جدید وارد نمایید"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","لطفا ""بازنویسی‌های URL کاتالوگ"" و ""ویژگی‌های محصول"" را در سیستم -> <a href=""%s"">مدیریت فهرست</a> رفرش نمایید"
"Please select a static block ...","لطفا یک بلاک ایستا انتخاب نمایید ..."
"Please select items.","لطفا آیتم‌ها را انتخاب نمایید."
"Please select one or more attributes.","لطفا یکی یا بیشتر از ویژگی‌ها را انتخاب نمایید."
"Please select product(s).","لطفا محصول(ات) را انتخاب نمایید."
"Please select products for attributes update","لطفا محصولات را برای به روز رسانی ویژگی‌ها انتخاب نمایید"
"Please specify date required option(s).","لطفا گزینه(ها)ی الزامی تاریخ را مشخص نمایید."
"Please specify the product required option(s)","لطفا گزینه(ها)ی الزامی محصول را مشخص نمایید"
"Please specify the product required option(s).","لطفا گزینه(ها)ی الزامی محصول را مشخص نمایید."
"Please specify the product\'s option(s).","لطفا گزینه(ها)ی محصول را مشخص نمایید."
"Please specify the product\'s required option(s).","لطفا گزینه(ها)ی الزامی محصول را مشخص نمایید."
"Please specify the quantity of product(s).","لطفا تعداد محصول(ات) را مشخص نمایید."
"Please specify time required option(s).","لطفا گزینه(ها)ی الزامی زمان را مشخص نمایید."
"Position","موقعیت"
"Position in Layered Navigation","موقعیت در ناوبری لایه‌ای"
"Position of attribute in layered navigation block","موقعیت ویژگی در بلاک ناوبری لایه‌ای"
"Prev","قبلی"
"Previous","قبلی"
"Price","قیمت"
"Price Type","نوع قیمت"
"Price is not available","قیمت در دسترس نیست"
"Price values for options should be specified in system base currency.","مقادیر قیمت برای گزینه‌ها می‌بایست در ارز مبنای سیستم تعیین شده باشند."
"Price:","قیمت:"
"Print This Page","چاپ این صفحه"
"Product","محصول"
"Product API","APIی محصول"
"Product Alerts","هشدارهای محصول"
"Product Attribute","ویژگی محصول"
"Product Attributes","ویژگی‌های محصول"
"Product Categories","رده‌های محصول"
"Product Description","توصیف محصول"
"Product Flat Data","داده‌ی یکنواخت محصول"
"Product Image Placeholders","جای‌گیرهای تصویر محصول"
"Product Image Watermarks","واترمارک‌های تصویر محصول"
"Product Images","تصاویر محصول"
"Product Images API","APIی تصاویر محصول"
"Product In Websites","محصول در وب‌سایت‌ها"
"Product Info Column","ستون اطلاعات محصول"
"Product Information","اطلاعات محصول"
"Product Link Block Template","قالب بلاکی لینک محصول"
"Product Link Inline Template","قالب اینلاین لینک محصول"
"Product Listing Sort by","ترتیب لیست کردن محصول با"
"Product Name","نام محصول"
"Product Prices","قیمت‌های محصول"
"Product Reviews","نظرات محصول"
"Product Tags","برچسب‌های محصول"
"Product Tier Price API","APIی قیمت ردیفی محصول"
"Product Type","نوع محصول"
"Product URL Suffix","پسوند URL محصول"
"Product View Extra Hint","اشاره‌ی اضافی مشاهده‌ی محصول"
"Product attribute sets API","APIی مجموعه‌های ویژگی محصول"
"Product attributes API","APIی ویژگی‌های محصول"
"Product collection expected.","مجموعه‌ی محصول مورد انتظار بود."
"Product links API (related, cross sells, up sells)","APIی لینک‌های محصول (مرتبط، فروش‌های پیشنهادی، پرفروش‌ها)"
"Product types API","APIی انواع محصول"
"Product with this combination of attributes already associated to configurable.","محصول با این ترکیب از ویژگی‌ها پیش از این به قابل پیکربندی متناظر شده."
"Products","محصولات"
"Products Comparison List","لیست مقایسه‌ی محصولات"
"Products Information","اطلاعات محصولات"
"Products Reviews","نظرات محصولات"
"Products Sitemap","نقشه سایت محصولات"
"Products only","تنها محصولات"
"Products per Page on Grid Allowed Values","محصولات بر صفحه در مقادیر مجاز مشبک"
"Products per Page on Grid Default Value","محصولات بر صفحه در مقدار پیش فرض مشبک"
"Products per Page on List Allowed Values","محصولات بر صفحه در مقادیر مجاز لیست"
"Products per Page on List Default Value","محصولات بر صفحه در مقدار پیش فرض لیست"
"Properties","مشخصات"
"Qty","تعداد"
"Qty Increments","نموهای تعداد"
"Qty Uses Decimals","اعشاری‌های مصارف تعداد"
"Qty for Item\'s Status to become Out of Stock","تعداد برای ناموجود شدن وضعیت آیتم"
"Qty:","تعداد:"
"Quantity","تعداد"
"Quick Create","ایجاد سریع"
"Quick Overview","بازنگری سریع"
"Quick simple product creation","ایجاد سریع محصول ساده"
"Records for ""","رکوردها برای """
"Redirect","هدایت مجدد"
"Redirect URL","URL هدایت مجدد"
"Regular Price:","قیمت عادی:"
"Related Products","محصولات مرتبط"
"Remove","برداشتن"
"Remove Product From Websites","برداشتن محصول از وب‌سایت‌ها"
"Remove This Item","برداشتن این آیتم"
"Remove product assignment","برداشتن حواله‌ی محصول"
"Remove product image","برداشتن تصویر محصول"
"Remove product link","برداشتن لینک محصول"
