"%s Store","فروشگاه %s"
"About Your Order","درباره‌ی سفارش‌تان"
"The osCommerce profile has been deleted.","پروفایل osCommerce حذف شد."
"The osCommerce profile has been saved.","پروفایل osCommerce ذخیره شد."
"This order no longer exists.","این سفارش دیگر موجود نیست."
"Timezone","منطقه‌ی زمانی"
"To import orders, Magento requires that customers also be imported.","برای ورود سفارش‌ها، مجنتو نیاز دارد که مشتریان نیز وارد شده باشند."
"Total imported <strong>%s</strong> records (%s)","مجموع <strong>%s</strong> رکورد وارد شده (%s)"
"Traditional Chinese","چینی سنتی"
"Unicode","Unicode"
"Updated At","به روز شده در"
"View #%s","مشاهده‌ی شماره‌ی %s"
"View Order","مشاهده‌ی سفارش"
"Warning: Please do not close window during importing/exporting data.","اخطار: لطفا در طی ورود/صدور داده پنجره را نبندید."
"Website Code","کد وب‌سایت"
"Western","Western"
"osCommerce","osCommerce"
"osCommerce Orders","سفارش‌های osCommerce"
"osCommerce Profile","پروفایل osCommerce"
"osCommerce Profiles","پروفایل‌های osCommerce"
"processed <strong>%s%% %s/%s</strong> records","<strong>%s%% %s/%s</strong> رکورد پردازش شد"
"records","رکوردها"
