"%s","%s"
"%s already exist.","%s وجود دارند."
"%s already exists.","%s وجود دارد."
"-- Please Select --","-- لطفا انتخاب نمایید --"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","درحال ثبت وقایع از Mage::logException(). فایل در {{base_dir}}/var/log قرار گرفته است."
"Login is Case Sensitive","ورود به کوچک و بزرگ بودن حروف حساس است"
"Logo Image Alt","Alt تصویر لوگو"
"Logo Image Src","Src تصویر لوگو"
"Mail Sending Settings","تنظیمات ارسال پستی"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","اطمینان حاصل کنید که URL مبنا با '/' (اسلش) پایان می یابد، مثال http://yourdomain/magento/"
"Manage Stores","مدیریت فروشگاه‌ها"
"Match expressions in the same order as displayed in the configuration.","حالات با ترتیب یکسان را به عنوان نمایش داده شده در پیکربندی تطابق بده."
"Maximum length exceeded.","بیشینه طول متجاوز شده."
"Merge CSS Files (beta)","یکی کردن فایل‌های CSS (بتا)"
"Merge JavaScript Files","یکی کردن فایل‌های JavaScript"
"Miscellaneous HTML","HTML گوناگون"
"Miscellaneous Scripts","اسکریپت‌های گوناگون"
"Model class does not exist: %s.","کلاس مدل وجود ندارد: %s."
"Model collection resource name is not defined.","نام منبع مجموعه‌ی مدل تعریف نشده است."
"Module ""%1$s"" cannot depend on ""%2$s"".","ماژول ""%1$s"" نمی تواند به ""%2$s"" وابسته باشد."
"Module ""%1$s"" requires module ""%2$s"".","ماژول ""%1$s"" به ماژول ""%2$s"" نیاز دارد."
"Name","نام"
"New Design Change","تغییر طرح جدید"
"New Store","فروشگاه جدید"
"New Store View","نمای فروشگاه جدید"
"New Website","وب‌سایت جدید"
"No","خیر"
"Package","بسته"
"Pagination","صفحه بندی"
"Pagination Frame","فریم صفحه بندی"
"Pagination Frame Skip","پرش از فریم صفحه بندی"
"Please choose to register or to checkout as a guest","لطفا یا نام نویسی یا تسویه به عنوان یک مهمان را انتخاب نمایید"
"Please define flag code.","لطفا کد نشانه را تعریف نمایید."
"Please enter 6 or more characters.","لطفا 6 کاراکتر یا بیشتر وارد نمایید."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","لطفا 6 کاراکتر یا بیشتر وارد نمایید. فاصله‌های ابتدایی یا انتهایی نادیده گرفته خواهند شد."
"Please enter a number greater than 0 in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please enter a valid $ amount. For example $100.00.","لطفا یک مبلغ معتبر ریـال وارد نمایید. برای مثال 100000 ریـال."
"Please enter a valid URL. For example http://www.example.com or www.example.com","لطفا یک URL معتبر وارد نمایید. برای مثال http://www.example.com یا www.example.com"
"Please enter a valid URL. http:// is required","لطفا یک URL معتبر وارد نمایید. http:// الزامی است."
"Please enter a valid credit card number.","لطفا یک شماره‌ی کارت اعتباری معتبر وارد نمایید."
"Please enter a valid credit card verification number.","لطفا یک شماره‌ی امنیتی کارت اعتباری معتبر وارد نمایید."
"Please enter a valid date.","لطفا یک تاریخ معتبر وارد نمایید."
"Please enter a valid email address. For example johndoe@domain.com.","لطفا یک آدرس ایمیل معتبر وارد نمایید. برای مثال name@domain.com."
"Please enter a valid number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","لطفا یک شماره تلفن معتبر وارد نمایید. برای مثال 7890-456 (123) یا 7890-456-123."
"Please enter a valid social security number. For example 123-45-6789.","لطفا یک شماره‌ی تامین اجتماعی معتبر وارد نمایید. برای مثال 6789-45-123."
"Please enter a valid zip code.","لطفا یک کد پستی معتبر وارد نمایید."
"Please enter a valid zip code. For example 90602 or 90602-1234.","لطفا یک کد پستی معتبر وارد نمایید. برای مثال 90602 یا 12345-90602."
"Please enter valid password.","لطفا گذرواژه‌ی معتبر وارد نمایید."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","لطفا یک طول CSS معتبر وارد نمایید. برای مثال 100px یا 20em یا 0.5ex یا 50%"
"Please make sure your passwords match.","لطفا اطمینان حاصل نمایید که گذرواژه‌های‌تان تطابق دارند."
"Please select State/Province.","لطفا ایالت/استان را انتخاب نمایید."
"Please select an option.","لطفا یک گزینه را انتخاب نمایید."
"Please select one of the above options.","لطفا یکی از گزینه‌های بالا را انتخاب نمایید."
"Please select one of the options.","لطفا یکی از گزینه‌ها را انتخاب نمایید."
"Please specify either a category or a product, or both.","لطفا هر یک از یک رده یا یک محصول، یا هر دو را مشخص نمایید."
"Please specify payment method.","لطفا روش پرداخت را مشخص نمایید."
"Please specify shipping method.","لطفا روش ارسال را مشخص نمایید."
"Please use letters only (a-z or A-Z) in this field.","لطفا در این فیلد تنها از حروف (a-z یا A-Z) استفاده نمایید."
"Please use letters only (a-z) in this field.","لطفا در این فیلد تنها از حروف (a-z) استفاده نمایید."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","لطفا در این فیلد تنها از اعداد استفاده نمایید. لطفا از فاصله یا کاراکترهای دیگر از قبیل نقطه یا کاما اجتناب کنید."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","لطفا در این فیلد تنها از حروف (a-z یا A-Z)، اعداد (0-9) یا زیرخط (_) استفاده نمایید، اولین کاراکتر باید یک حرف باشد."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","لطفا تنها در این فیلد فقط حروف (a-z) یا اعداد (9-0) را استفاده نمایید. فاصله یا هیچ کاراکتر دیگری مجاز نیستند."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","لطفا تنها در این فیلد فقط از حروف (a-z) یا اعداد (9-0) یا فاصله و # استفاده نمایید."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","لطفا در این فیلد تنها از حروف (a-z)، اعداد (0-9) یا زیرخط (_) استفاده نمایید، اولین کاراکتر باید یک حرف باشد."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","لطفا این ساختار تاریخ را استفاده نمایید: سال/ماه/روز. برای مثال 2010/03/17 برای هفده ام مارچ 2010."
"Please wait, loading...","بارگذاری، لطفا صبر نمایید..."
"Polls","نظرسنجی‌ها"
"Port (25)","پورت (25)"
"Profiler","پروفایلر"
"Redirect to Base URL if requested URL doesn't match it","هدایت مجدد به URL مبنا اگر URL درخواستی با آن مطابق نیست"
"Request Path for Specified Store","مسیر درخواست برای فروشگاه مشخص شده"
"Requested invalid store ""%s""","فروشگاه درخواست شده‌ی نامعتبر ""%s"""
"Resource is not set.","منبع تنظیم نیست."
"Return-Path Email","ایمیل مسیر برگردان"
"Root Category","رده‌ی ریشه"
"Sales Representative","نماینده‌ی فروش"
"Save","ذخیره"
"Save Store","ذخیره‌ی فروشگاه"
"Save Store View","ذخیره‌ی نمای فروشگاه"
"Save Website","ذخیره‌ی وب‌سایت"
"Search Engines Optimization","بهینه سازی موتورهای جستجو"
"Secure","ایمن"
"Security","امنیت"
"Select Date","انتخاب تاریخ"
"Sender Email","ایمیل فرستنده"
"Sender Name","نام فرستنده"
"Services","سرویس‌ها"
"Session Cookie Management","مدیریت کوکی نشست"
"Session Lifetime (seconds)","طول عمر نشست (ثانیه)"
"Session Validation Settings","تنظیمات اعتبار سنجی نشست"
"Set Return-Path","تنظیم مسیر برگردان"
"Set as Default","تنظیم به عنوان پیش فرض"
"Skin (Images / CSS)","پوسته (تصاویر / CSS)"
"Sort Order","ترتیب ردیف"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","تاریخ/زمان مشخص شده‌ی ""%1$s"" با ساختار ""%2$s"" مطابقت نمی‌کند."
"Start date cannot be greater than end date.","تاریخ شروع نمی‌تواند از تاریخ پایان بزرگ‌تر باشد."
"Startup Page","صفحه‌ی شروع"
"Status","وضعیت"
"Store","فروشگاه"
"Store Contact Address","آدرس تماس فروشگاه"
"Store Contact Information","اطلاعات تماس فروشگاه"
"Store Contact Telephone","تلفن تماس فروشگاه"
"Store Email Addresses","آدرس‌های ایمیل فروشگاه"
"Store Information","ایمیل فروشگاه"
"Store Name","نام فروشگاه"
"Store View","نمای فروشگاه"
"Store View Information","اطلاعات نمای فروشگاه"
"Store View Name","نام نمای فروشگاه"
"Store view doesn't exist","نمای فروشگاه وجود ندارد"
"Store with the same code","فروشگاه با کد یکسان"
"System","سیستم"
"System Log File Name","نام فایل گزارش سیستم"
"Template Path Hints","اشاره‌های مسیر قالب"
"Template Variables","متغییرهای قالب"
"Templates","قالب‌ها"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s که شما وارد نموده‌اید نامعتبر است. لطفا اطمینان حاصل نمایید که از ساختار ""http://domain.com/"" پیروی می‌کند."
"The model collection resource name is not defined.","نام منبع مجموعه مدل تعریف نشده است."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","کد فروشگاه تنها می‌تواند شامل حروف (a-z)، اعداد (0-9) یا زیرخط (_) باشد، اولین کاراکتر باید یک حرف باشد"
"The store does not exist","فروشگاه وجود ندارد"
"The store has been deleted.","فروشگاه حذف شد."
"The store has been saved.","فروشگاه ذخیره شد."
"The store view has been deleted.","نمای فروشگاه حذف شد."
"The store view has been saved","نمای فروشگاه ذخیره شد."
"The template Name must not be empty.","نام قالب نباید خالی باشد."
"The website does not exist.","وب‌سایت وجود ندارد."
"The website has been deleted.","وب‌سایت حذف شد."
"The website has been saved.","وب‌سایت ذخیره شد."
"Themes","تم‌ها"
"This category and all its child elements","این رده و همه‌ی عناصر ولد آن"
"This category and its child categories only","این رده و تنها رده‌های ولد آن"
"This category and its products only","این رده و تنها محصولات آن"
"This category only","تنها این رده"
"This date is a required value.","این تاریخ هست یک مقدار الزامی."
"This is a required field.","این یک فیلد الزامی است."
"This store cannot be deleted.","این فروشگاه نمی‌تواند حذف شود."
"This store view cannot be deleted.","این نمای فروشگاه نمی‌تواند حذف شود."
"This website cannot be deleted.","این وب‌سایت نمی‌تواند حذف شود."
"This will be displayed just before body closing tag.","این درست پیش از بستن تگ body نمایش داده خواهد شد."
"This will be included before head closing tag in page HTML.","این پیش از بستن تگ head در صفحه‌ی HTML را شامل خواهد بود."
"Timezone","منطقه‌ی زمانی"
"Title Prefix","پیشوند عنوان"
"Title Suffix","پسوند عنوان"
"Translate Inline","ترجمه کردن اینلاین"
"Translate cache should be disabled for both frontend and admin inline translations.","کش ترجمه کردن باید برای ترجمه‌های اینلاین هر دوی فرانت‌اند و مدیریت ناممکن شده باشد."
"Translations","ترجمه‌ها"
"Unable to delete store view. Please, try again later.","ناتوان در حذف نمای فروشگاه. لطفا، بعدا دوباره سعی نمایید."
"Unable to delete store. Please, try again later.","ناتوان در حذف فروشگاه. لطفا، بعدا دوباره سعی نمایید."
"Unable to delete website. Please, try again later.","ناتوان در حذف وب‌سایت. لطفا، بعدا دوباره سعی نمایید."
"Unable to proceed. Please, try again","ناتوان به ادامه. لطفا دوباره سعی نمایید"
"Unable to proceed. Please, try again.","ناتوان به ادامه. لطفا دوباره سعی نمایید."
"Unknown scope ""%s"".","دامنه‌ی ناشناخته ""%s""."
"Unsecure","نا امن"
"Url Options","گزینه‌های Url"
"Use Custom Admin URL","استفاده از URL مدیریت سفارشی"
"Use HTTP Only","تنها استفاده از HTTP"
"Use SID on Frontend","استفاده از SID در فرانت‌اند"
"Use Secure URLs in Admin","استفاده از URLهای امن در مدیریت"
"Use Secure URLs in Frontend","استفاده از URLهای امن در فرانت‌اند"
"Use Web Server Rewrites","استفاده از بازنویسی‌های سرور وب"
"Validate HTTP_USER_AGENT","تایید اعتبار HTTP_USER_AGENT"
"Validate HTTP_VIA","تایید اعتبار HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","تایید اعتبار HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","تایید اعتبار REMOTE_ADDR"
"Validation has failed.","تایید اعتبار ناموفق بود."
"Values less than 60 are ignored. Note that changes will apply after logout.","مقادیر کمتر از 60 نادیده گرفته شده‌اند. توجه کنید که تغییرات پس از خروج اعمال خواهند شد."
"Variable Code must be unique.","کد متغییر باید یکتا باشد."
"Web","وب"
"Website","وب‌سایت"
"Website Information","اطلاعات وب‌سایت"
"Website Name","نام وب‌سایت"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","کد وب‌سایت تنها می‌تواند شامل حروف (a-z)، اعداد (0-9) یا زیرخط (_) باشد، اولین کاراکتر باید یک حرف باشد"
"Website with the same code","وب‌سایت با کد یکسان"
"Weekend Days","روزهای پایان هفته"
"Welcome Text","متن خوش‌آمدگویی"
"Wrong number of arguments for %s","شماره‌ی اشتباه از آرگومان‌ها برای %s"
"Yes","بلی"
"Your design change for the specified store intersects with another one, please specify another date range.","تغییر طرح‌تان برای فروشگاه مشخص شده با طرح دیگری تداخل دارد، لطفا بازه‌ی تاریخ دیگری مشخص نمایید."
"Your order cannot be completed at this time as there is no payment methods available for it.","از آن جایی که روش پرداختی برای سفارش شما موجود نیست، در حال حاضر سفارش نمی تواند کامل شود."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","از آن جایی که روش ارسالی برای سفارش شما موجود نیست، در حال حاضر سفارش نمی تواند کامل شود. لطفا در آدرس ارسال‌تان تغییرات لازم را به وجود آورید."
"Your session has been expired, you will be relogged in now.","نشست شما منقضی شده است، شما اکنون دوباره وارد خواهید شد."
