"* Required Fields","* فیلدهای الزامی"
"Are you sure you want to cancel adding of this address?","شما مطمئن‌اید می‌خواهید افزودن این آدرس را لغو کنید؟"
"Are you sure you want to delete this address?","شما مطمئن‌اید می‌خواهید این آدرس را حذف کنید؟"
"Are you sure?","شما مطمئن‌اید؟"
"Array of Entity collections is expected.","آرایه‌ی مجموعه‌های موجودیت انتظار می‌رود."
"Assign a Customer Group","اختصاص یک گروه مشتری"
"Average Sale","میانگین فروش"
"Back","بازگشت"
"Back - link to the previously viewed page","بازگشت – لینک به صفحه‌ی مشاهده شده‌ی پیشین"
"Back to Login","بازگشت به ورود"
"Bad request.","درخواست بد."
"Bill to Name","صورت حساب به نام"
"Bought From","خریداری از"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","با ایجاد یک حساب در فروشگاه ما، شما به جابجایی میان فرایند تسویه‌ی سریع‌تر، آدرس‌های ارسال چندگانه‌ی فروشگاه، مشاهده و پیگری سفارش‌ها در حساب‌تان و چیزهای بیشتری قادر خواهید بود."
"CSV","CSV"
"Cancel","لغو"
"Cannot save address.","نمی‌توان آدرسی را ذخیره کرد."
"Cannot save the address.","نمی‌توان آدرس را ذخیره کرد."
"Cannot save the customer.","نمی‌توان مشتری را ذخیره کرد."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","نمی‌توان حساب‌های مشتری را سراسری تسهیم کرد زیرا برخی حساب‌های مشتری با ایمیل‌های یکسان در وب‌سایت‌های چندگانه وجود دارند و نمی‌توانند یکی شوند."
"Change Account Password","تغییر گذرواژه‌ی حساب"
"Change Billing Address","تغییر آدرس صورت حساب"
"Change Password","تغییر گذرواژه"
"Change Shipping Address","تغییر آدرس ارسال"
"City","شهر"
"Company","شرکت"
"Config","پیکربندی"
"Confirm New Password","تایید گذرواژه‌ی جدید"
"Confirm Password","تایید گذرواژه"
"Confirmation Link Email","ایمیل لینک تاییدیه"
"Confirmed","تایید شده"
"Contact Information","اطلاعات تماس"
"Continue Shopping","ادامه‌ی خرید"
"Country","کشور"
"Create","ایجاد"
"Create New Account Options","گزینه‌های ایجاد حساب جدید"
"Create New Customer Account","ایجاد حساب مشتری جدید"
"Create Order","ایجاد سفارش"
"Create an Account","ایجاد یک حساب"
"Create customer","ایجاد مشتری"
"Create customer address","ایجاد آدرس مشتری"
"Current Password","گذرواژه‌ی جاری"
"Customer","مشتری"
"Customer Account Edit Form","فرم ویرایش حساب مشتری"
"Customer Account Login Form","فرم ورود حساب مشتری"
"Customer Account Logout Success","موفقیت خروج از حساب مشتری"
"Customer Account Registration Form","فرم نام نویسی حساب مشتری"
"Customer Addresses","آدرس‌های مشتری"
"Customer Api","Apiی مشتری"
"Customer Configuration","پیکربندی مشتری"
"Customer Forgot Password Form","فرم گذرواژه‌ی فراموش شده‌ی مشتری"
"Customer Group","گروه مشتری"
"Customer Groups","گروه‌های مشتری"
"Customer Information","اطلاعات مشتری"
"Customer Login","ورود مشتری"
"Customer My Account (All Pages)","حساب من مشتری (همه‌ی صفحات)"
"Customer My Account Address Book","کتاب آدرس حساب من مشتری"
"Customer My Account Address Edit Form","فرم ویرایش آدرس حساب من مشتری"
"Customer My Account Dashboard","داشبورد حساب من مشتری"
"Customer Since","مشتری از زمان"
"Customer View","مشاهده‌ی مشتری"
"Customer collection expected.","مجموعه‌ی مشتری مورد انتظار بود."
"Customer email is required.","ایمیل مشتری الزامی است."
"Customer website ID must be specified when using the website scope.","شناسه‌ی وب‌سایت مشتری باید هنگام استفاده از دامنه‌ی وب‌سایت مشخص شده باشد."
"Customer will stay on the current page if ""No"" is selected.","اگر ""خیر"" انتخاب شده است مشتری در صفحه‌ی جاری خواهد ماند."
"Customers","مشتریان"
"Customers Only","تنها مشتریان"
"Customers Section","بخش مشتریان"
"DD","روز"
"Date","تاریخ"
"Date Added","تاریخ افزودن"
"Date of Birth","تاریخ تولد"
"Day","روز"
"Days in Wishlist","روزها در لیست دلخواه"
"Default Addresses","آدرس‌های پیش فرض"
"Default Billing Address","آدرس صورت حساب پیش فرض"
"Default Email Domain","دامنه‌ی ایمیل پیش فرض"
"Default Group","گروه پیش فرض"
"Default Shipping Address","آدرس ارسال پیش فرض"
"Default Welcome Email","ایمیل خوش‌آمدگویی پیش فرض"
"Delete","حذف"
"Delete Address","حذف آدرس"
"Delete Customer","حذف مشتری"
"Delete Customer Group","حذف گروه مشتری"
"Delete customer","حذف مشتری"
"Delete customer address","حذف آدرس مشتری"
"Deleted Stores","فروشگاه‌های حذف شده"
"Details","جزییات"
"Disabled","ناممکن‌شده"
"Edit","ویرایش"
"Edit Account Info","ویرایش اطلاعات حساب"
"Edit Account Information","ویرایش اطلاعات حساب"
"Edit Address","ویرایش آدرس"
"Edit Address Entry","ویرایش عنصر آدرس"
"Edit Customer Group ""%s""","ویرایش گروه مشتری ""%s"""
"Edit Customer Groups","ویرایش گروه‌های مشتری"
"Edit Customer's Address","ویرایش آدرس مشتری"
"Edit Group","ویرایش گروه"
"Edit Newsletters","ویرایش خبرنامه‌ها"
"Email","ایمیل"
"Email Address","آدرس ایمیل"
"Email Sender","فرستنده‌ی ایمیل"
"Email:","ایمیل:"
"Entity collection is expected.","مجموعه موجودیت انتظار می‌رود."
"Failed to confirm customer account.","شکست در تایید حساب مشتری."
"Fax","فکس"
"First Name","نام کوچک"
"Forgot Email Sender","فرستنده‌ی ایمیل فراموش شده"
"Forgot Email Template","قالب ایمیل فراموش شده"
"Forgot Your Password?","گذرواژه‌تان را فراموش کرده‌اید؟"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","شما از داشبورد حساب‌تان می‌توانید یک نمای فوری از فعالیت آخر حساب‌تان را مشاهده کنید و اطلاعات حساب‌تان را به روز کنید. برای مشاهده یا ویرایش اطلاعات یکی از لینک‌های زیر را انتخاب کنید."
"Gender","جنسیت"
"General Subscription","اشتراک عمومی"
"Generate Human-Friendly Customer ID","تولید شناسه‌ی مشتری انسان پسند"
"Global","سراسری"
"Grand Total","جمع کل نهایی"
"Group","گروه"
"Group Information","اطلاعات گروه"
"Group Name","نام گروه"
"Guest","مهمان"
"HTML","HTML"
"Hello, %s!","سلام، %s!"
"ID","شناسه"
"IP Address","آدرس IP"
"If you have an account with us, please log in.","اگر شما حساب کاربری دارید، لطفا وارد شوید."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","گزینه‌ی ویژگی مشخص شده‌ی نامعتبر برای ویژگی %s (%s)، در حال پرش از رکورد."
"Invalid attribute set specified, skipping the record.","مجموعه ویژگی مشخص شده‌ی نامعتبر، در حال پرش از رکورد."
"Invalid current password","گذرواژه‌ی جاری نامعتبر"
"Invalid customer data","داده‌ی مشتری نامعتبر"
"Invalid email address.","آدرس ایمیل نامعتبر."
"Invalid login or password.","ورود یا گذرواژه‌ی نامعتبر."
"Invalid store specified, skipping the record.","فروشگاه مشخص شده‌ی نامعتبر، در حال پرش از رکورد."
"Last Activity","آخرین فعالیت"
"Last Date Subscribed","آخرین تاریخ اشتراک"
"Last Date Unsubscribed","آخرین تاریخ لغو اشتراک"
"Last Name","نام خانوادگی"
"Last URL","آخرین URL"
"Leave empty for default (15 minutes).","برای پیش فرض (15 دقیقه) خالی بگذارید."
"Leave empty for default (2). Valid range: 1-4","برای پیش فرض (2) خالی بگذارید. بازه‌ی معتبر: 4-1"
"Lifetime Sales","تمام فروش‌ها تاکنون"
"Log In","ورود"
"Log Out","خروج"
"Login","ورود"
"Login Information","اطلاعات ورود"
"Login Options","گزینه‌های ورود"
"Login and password are required.","ورود و گذرواژه الزامی‌اند."
"Login or Create an Account","ورود یا ایجاد یک حساب"
"M.I.","M.I."
"MM","ماه"
"Manage Addresses","مدیریت آدرس‌ها"
"Manage Customers","مدیریت مشتریان"
"Missing email, skipping the record.","ایمیل مفقود، در حال پرش از رکورد."
"Missing firstname, skipping the record.","نام کوچک مفقود، در حال پرش از رکورد."
"Missing lastname, skipping the record.","نام خانوادگی مفقود، در حال پرش از رکورد."
"Month","ماه"
"My Account","حساب من"
"My Dashboard","داشبورد من"
"My Orders","سفارش‌های من"
"Name","نام"
"Name and Address Options","گزینه‌های آدرس و نام"
"Never","هرگز"
"New Address","آدرس جدید"
"New Address Entry","عنصر آدرس جدید"
"New Customer","مشتری جدید"
"New Customer Address","آدرس مشتری جدید"
"New Customer Group","گروه مشتری جدید"
"New Customer Groups","گروه‌های مشتری جدید"
"New Customers","مشتریان جدید"
"New Group","گروه جدید"
"New Password","گذرواژه‌ی جدید"
"New account","حساب جدید"
"New account confirmation key","کلید تایید حساب جدید"
"New account confirmed","حساب جدید تایید شد"
"New password","گذرواژه‌ی جدید"
"Newsletter","خبرنامه"
"Newsletter Finish","پایان خبرنامه"
"Newsletter Information","اطلاعات خبرنامه"
"Newsletter Received","خبرنامه دریافت گردید"
"Newsletter Start","شروع خبرنامه"
"Newsletter Subscription","اشتراک خبرنامه"
"Newsletters","خبرنامه‌ها"
"No Items Found","آیتمی یافت نشد"
"No Newsletter Found","خبرنامه‌ای یافت نشد"
"No customer collections found","مجموعه‌های مشتری یافت نشد"
"No item specified.","آیتمی تعیین نشده است."
"Not Sent","فرستاده نشده"
"Not confirmed, can login","تایید نشده، ورود ممکن"
"Not confirmed, cannot login","تایید نشده، ورود ناممکن"
"Number of Lines in a Street Address ","تعداد سطرها در یک آدرس خیابان "
"Offline","آفلاین"
"Online","آنلاین"
"Online Customers","مشتریان آنلاین"
"Online Customers Options","گزینه‌های مشتریان آنلاین"
"Online Minutes Interval","مدت دقایق آنلاین"
"Order #","شماره‌ی سفارش"
"Order Total","مجموع سفارش"
"Orders","سفارش‌ها"
"PDF","PDF"
"Password","گذرواژه"
"Password Management","مدیریت گذرواژه"
"Password Options","گزینه‌های گذرواژه"
"Password forgotten","گذرواژه‌ی فراموش شده"
"Password:","گذرواژه:"
"Paused","متوقف شد"
"Pending","در انتظار"
"Per Website","بر وب‌سایت"
"Personal Information","اطلاعات شخصی"
"Please enter your email below and we will send you a new password.","لطفا ایمیل‌تان را در زیر وارد نمایید و ما یک گذرواژه‌ی جدید به شما خواهیم فرستاد."
"Please enter your email below and we\'ll send you confirmation link for it.","لطفا ایمیل‌تان را در زیر وارد نمایید و ما لینک تاییدیه را به آن خواهیم فرستاد."
"Please enter your email.","لطفا ایمیل‌تان را وارد نمایید."
"Please make sure your passwords match.","لطفا اطمینان حاصل نمایید که گذرواژه‌های‌تان تطابق دارند."
"Please select","لطفا انتخاب نمایید"
"Please select region, state or province","لطفا منطقه، ایالت یا استان را انتخاب نمایید"
"Please, check your email for confirmation key.","لطفا، ایمیل‌تان را برای کلید تاییدیه بررسی نمایید."
"Prefix","پیشوند"
"Prefix Dropdown Options","گزینه‌های کشویی پیشوند"
"Price","قیمت"
"Product","محصول"
"Product ID","شناسه‌ی محصول"
"Product Name","نام محصول"
"Product Reviews","نظرات محصول"
"Product Tags","برچسب‌های محصول"
"Product name","نام محصول"
"Purchase On","خرید در"
"Purchased At","خریداری در"
"Qty","تعداد"
"Recent Orders","سفارش‌های اخیر"
"Records for %s store found.","رکوردها برای %s فروشگاه یافت شد."
"Redirect Customer to Account Dashboard after Logging in","مشتری را پس از ورود به داشبورد حساب هدایت کن"
"Refunded","مسترد"
"Registered Customers","مشتریان عضو"
"Remove","برداشتن"
"Require Emails Confirmation","تایید ایمیل‌ها لازم"
"Retrieve address data","بازیابی داده‌ی آدرس"
"Retrieve address info","بازیابی اطلاعات آدرس"
"Retrieve customer addresses","بازیابی آدرس‌های مشتری"
"Retrieve customer data","بازیابی داده‌ی مشتری"
"Retrieve customer groups","بازیابی گروه‌های مشتری"
"Retrieve customer info","بازیابی اطلاعات مشتری"
"Retrieve customers","بازیابی مشتریان"
"Retrieve your confirmation link here","لینک تاییدیه‌تان را اینجا بازیابی کنید"
"Retrieve your password here","گذرواژه‌تان را اینجا بازیابی کنید"
"SKU","کد کالا"
"Sales Statistics","آمار فروش‌ها"
"Save","ذخیره"
"Save Address","ذخیره‌ی آدرس"
"Save Customer","ذخیره‌ی مشتری"
"Save Customer Group","ذخیره‌ی گروه مشتری"
"Save Password","ذخیره‌ی گذرواژه"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Saved %d record(s)","%d رکورد ذخیره شد"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","سمیکالن (;) مقادیر را جدا میکند. <br/>برای اولین گزینه‌ی خالی در ابتدا سمیکالن قرار دهید. <br/>برای فیلد متنی خالی بگذارید."
"Send From","فرستادن از"
"Send Welcome Email","فرستادن ایمیل خوش‌آمدگویی"
"Send Welcome Email after Confirmation","فرستادن ایمیل خوش‌آمدگویی پس از تایید"
"Send auto-generated password","فرستادن گذرواژه‌ی خودکار تولید شده"
"Send confirmation link","فرستادن لینک تاییدیه"
"Sending","در حال فرستادن"
"Sent","فرستاده شد"
"Session Start Time","زمان شروع نشست"
"Set as Default Billing Address","تنظیم به عنوان آدرس صورت حساب پیش فرض"
"Set as Default Shipping Address","تنظیم به عنوان آدرس ارسال پیش فرض"
"Share Customer Accounts","تسهیم حساب‌های مشتری"
"Shipped to First Name","نام کوچک ارسال شده به"
"Shipped to Last Name","نام خانوادگی ارسال شده به"
"Shipped to Name","نام ارسال شده به"
"Shopping Cart","ارسال سبد"
"Shopping Cart - %d item(s)","ارسال سبد - %d آیتم"
"Show Date of Birth","نمایش تاریخ تولد"
"Show Gender","نمایش جنسیت"
"Show Middle Name (initial)","نمایش نام میانی (نخستین)"
"Show Prefix","نمایش پیشوند"
"Show Suffix","نمایش پسوند"
"Show Tax/VAT Number","نمایش شماره‌ی مالیاتی"
"Sign Up for Newsletter","نام نویسی برای خبرنامه"
"Skipping import row, required field ""%s"" is not defined.","درحال پرش از ورود سطر، فیلد الزامی "" %s"" تعریف نشده است."
"Skipping import row, website ""%s"" field does not exist.","درحال پرش از ورود سطر، فیلد ""%s"" وب‌سایت وجود ندارد."
"State/Province","ایالت/استان"
"Status","وضعیت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Street Address","آدرس خیابان"
"Street Address ","آدرس خیابان "
"Street Address %s","آدرس خیابان %s"
"Subject","موضوع"
"Submit","ارایه"
"Subscribe to Newsletter","اشتراک در خبرنامه"
"Subscribed to Newsletter?","مشترک شده برای خبرنامه؟"
"Suffix","پسوند"
"Suffix Dropdown Options","گزینه‌های کشویی پسوند"
"Tag Name","نام برچسب"
"Tax Class","کلاس مالیات"
"Tax/VAT number","شماره‌ی مالیاتی"
"Telephone","تلفن"
"Text","متن"
"Text One Line","متن یک خطی"
"Thank you for registering with %s.","از شما برای نام نویسی در %s سپاس گذاریم."
"The account information has been saved.","اطلاعات حساب ذخیره شد."
"The address does not belong to this customer.","آدرس متعلق به این مشتری نیست."
"The address has been deleted.","آدرس حذف شد."
"The address has been saved.","آدرس ذخیره شد."
"The customer does not have default billing address.","Tمشتری آدرس صورت حساب پیش فرض ندارد."
"The customer group has been deleted.","گروه مشتری حذف شد."
"The customer group has been saved.","گروه مشتری ذخیره شد."
"The group ""%s"" cannot be deleted.","گروه ""%s"" را نمی‌توان حذف کرد."
"The password fields cannot be empty.","فیلدهای گذرواژه نمی‌توانند خالی باشند."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","گذرواژه باید داشته باشد دست کم 6 کاراکتر. فاصله‌های ابتدایی یا انتهایی نادیده گرفته خواهند شد."
"The suffix that goes after name (Jr., Sr., etc.)","پسوندی که پس از نام قرار می‌گیرد (Jr.، Sr.، و غیره)"
"The title that goes before name (Mr., Mrs., etc.)","عنوانی که پیش از نام قرار می‌گیرد (آقا، خانم، و غیره)"
"There are no items in customer's wishlist at the moment","در حال حاضر آیتمی در لیست دلخواه مشتری وجود ندارد"
"There are no items in customer\'s shopping cart at the moment","در حال حاضر آیتمی در سبد خرید مشتری وجود ندارد"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","یک حساب با این آدرس ایمیل وجود دارد. اگر شما مطمئن‌اید که این آدرس ایمیل‌تان است، برای دریافت گذرواژه و دسترسی به حساب‌تان <a href=""%s"">اینجا را کلیک کنید </a>."
"This account is not confirmed.","این حساب تایید شده نیست."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","این حساب تایید شده نیست. برای فرستادن مجدد ایمیل تاییدیه <a href=""%s"">اینجا را کلیک کنید </a>."
"This customer email already exists.","این ایمیل مشتری وجود دارد."
"This customer has no saved addresses.","این مشتری آدرس ذخیره شده‌ای ندارد."
"This email address was not found in our records.","این آدرس ایمیل در رکوردهای ما یافت نشد."
"This email does not require confirmation.","این ایمیل تاییدیه لازم ندارد."
"This email will be sent instead of default welcome email, after account confirmation.","این ایمیل پس از تایید حساب، به جای ایمیل خوش‌آمدگویی پیش فرض فرستاده خواهد شد."
"This is My Default %s Address","این آدرس %s پیش فرض‌ام است."
"To Cart","به سبد"
"Total","مجموع"
"Type","نوع"
"Unknown","ناشناخته"
"Unsubscribe from Newsletter","لغو اشتراک از خبرنامه"
"Update","به روز رسانی"
"Update customer address data","به روز رسانی داده‌ی آدرس مشتری"
"Update customer data","به روز رسانی داده‌ی مشتری"
"Use as My Default %s Address","استفاده به عنوان آدرس %s پیش فرض‌ام"
"Use as My Default Billing Address","استفاده به عنوان آدرس صورت حساب پیش فرض‌ام"
"Use as My Default Shipping Address","استفاده به عنوان آدرس ارسال پیش فرض‌ام"
"Use as my default billing address","استفاده به عنوان آدرس صورت حساب پیش فرض‌ام"
"Use as my default shipping address","استفاده به عنوان آدرس ارسال پیش فرض‌ام"
"User description","توصیف کاربر"
"View","مشاهده"
"View Order","مشاهده‌ی سفارش"
"Visible In","نمایان در"
"Visitor","بازدیدکننده"
"Visitors Only","تنها بازدیدکنندگان"
"Website","وب‌سایت"
"Welcome Email","ایمیل خوش‌آمد گویی"
"Wishlist","لیست دلخواه"
"Wishlist - %d item(s)","لیست دلخواه - %d آیتم"
"Wrong confirmation key.","کلید تاییدیه‌ی اشتباه."
"Wrong customer account specified.","حساب مشتری مشخص شده‌ی اشتباه."
"Wrong email.","ایمیل اشتباه."
"Wrong transactional account email type.","نوع ایمیل حساب تراکنش اشتباه."
"XML","XML"
"YYYY","سال"
"Year","سال"
"You are currently not subscribed to any newsletter.","در حال حاضر شما در هیچ خبرنامه‌ای مشترک نیستید."
"You are currently not subscribed to our newsletter.","در حال حاضر شما در خبرنامه‌ی ما مشترک نیستید."
"You are currently subscribed to 'General Subscription'.","در حال حاضر شما در ‘اشتراک عمومی’ مشترک هستید."
"You are currently subscribed to our newsletter.","در حال حاضر شما درخبرنامه‌ی ما مشترک هستید."
"You are now logged out","شما اکنون خارج شده‌اید"
"You have logged out and will be redirected to our homepage in 5 seconds.","شما خارج شده‌اید و در مدت 5 ثانیه دوباره به صفحه‌ی خانگی ما هدایت خواهید شد."
"You have no additional address entries in your address book.","شما عناصر آدرس اضافی‌ای در کتاب آدرس‌تان ندارید."
"You have no additional entries in your address book.","شما عناصر اضافی‌ای در کتاب آدرس‌تان ندارید."
"You have no default billing address in your address book.","شما آدرس صورت حساب پیش فرضی در کتاب آدرس‌تان ندارید."
"You have no default entries in your address book.","شما عناصر پیش فرضی در کتاب آدرس‌تان ندارید."
"You have no default shipping address in your address book.","شما آدرس ارسال پیش فرضی در کتاب آدرس‌تان ندارید."
"You have not set a default billing address.","شما آدرس صورت حساب پیش فرضی تنظیم نکرده‌اید."
"You have not set a default shipping address.","شما آدرس ارسال پیش فرضی تنظیم نکرده‌اید."
"You have placed no orders yet.","شما هنوز سفارشی نداده‌اید."
"You have placed no products yet.","شما هنوز محصولی سفارش نداده‌اید."
"Your account balance is: %s","مانده حسابتان هست: %s"
"ZIP","پستی"
"ZIP/Post Code","کد پستی"
"Zip/Postal Code","کد پستی"
"n/a","n/a"
"or","یا"
